Komentar,Kategori
Enaky di apain ni budak2 setan bgsat ini..,Bullying
Entah kenapa ku gak suka dg orang yg suka berkata sumpah demi Allah,Non-bullying
Entah kenapa sangat kecewa dan muakkk,Non-bullying
Entar lu nnti kalok duit lu uda abis masih d pegang gk tangan lu ma binik lu,Non-bullying
Eta nu make kacamata raraina siga bool babi kitu,Bullying
Ett celana biru kaya cacingan ekwkkw,Bullying
"Expresi mas Maliki , di menit 3:10 mewakili rakyat Indonesia 😂🤮",Non-bullying
Ez serve dekkk rrq 😂😂,Non-bullying
FA dasar nya pecundang,Bullying
FA gak nyadar ketololannya makin diperjelas😅😅,Bullying
"FA ini orang munafikun,nyari panggung,coba lu di awal condong ke Novi,pasti beda ceritanya..dasar lol...,🤣😂",Bullying
"FA kagak sadar...bahwa kesalahan dia masuk podcast om ded...awkak OM DED itu bisa,,membuat narasumber ngomong  KONYOL+GObLOG,,tanpa di sadari",Bullying
"FA kena jebakan betmen, 😂😂😂.
Bisa masuk gk bisa keluar.
Close the door. Gembok",Non-bullying
"FA kok bisa jadi pengacara ngomongnya aja muter"" bikin sakit kepala boleh"" kalau masuk akal ini kaga anying",Bullying
FA lama lama kelihatan mirip Agus lolnya,Bullying
"Fa Lo knp g bantu Agus buat kasus kriminal nya,mlh ngurusin duit donasi",Non-bullying
FA mah gk ngerti arti TAEK TAIK EEK dan TAE 😂😂😂😂,Bullying
FA ngluarin ke tololan ya di sini.,Bullying
FA taek panggilan nya😅😅,Bullying
FA taiiiiiiiiiii,Bullying
"Fans karbitan itumah yg ngata²in team lain
Kecuali evos🗿 kan emang rival sejak M1",Non-bullying
Fans RRQ hanya dijadikan sumber viewer....🤭🤭🤭🤭,Non-bullying
Fansos A.. kalo kasus gak viral gak bakalan ikut nimbrung... 🤡,Non-bullying
Farhat abaassss banciiiiiiii,Bullying
FARHAT ABAS TAIKKKKKK,Bullying
FARHAT BABI,Bullying
farhat bencong🎉🎉,Bullying
Farhat BS...... mulut cewek,Bullying
Farhat gilak,Bullying
Farhat kasusnya loli g ke angkat kasusnya agus naik daunn,Non-bullying
Farhat KNTL(Kekar Nan Tampan Lupawan),Bullying
FARHAT KUNYUK EH ABBAS LAGI NUNJUKIN KE TOLOLAN NYA GAES🤣,Bullying
Farhat lu sejarah mana soal suku Bugis yah Suku Bugis merupakan keturunan bangsa Deutro Melayu atau Melayu Muda. Mereka berasal dari Yunan (China Selatan) dan masuk ke Nusantara sekitar tahun 500 SM.,Non-bullying
farhat memang mulut bau taiiiii,Bullying
"Farhat mental sosmed,banci,di samperin kaya gitu wkwk,banci farhat",Bullying
farhat mulut lu lemes bgt ngelebihin mulut cewe,Bullying
FARHAT SEDANG MENUNJUKAN KETOLOLANNYA 😅😅😅,Bullying
Farhat Tai,Bullying
farhat taik 🤣,Bullying
"Farhat tau aja biar viral lagi ikut2 kasus agus, ga ad agus anyep ni farhat",Non-bullying
"farhat tu pas pembagian otak sama hati, datengnya h+99999 ya? 😂 gobloookkk bgtt jd orang wkw gemes bgt ajggg",Bullying
"Farhat vs densu
Farhat = sombong tapi cerdas. 
Densu = udah sombong begonya kelewatan.",Bullying
FARHAT=BENCONG FAKTA,Bullying
Farhat2 pinter bner ngomong perasaan pas masuk udh di persilahkan deh ama dirinya sendiri 😂,Non-bullying
FARHATT BANCII !!! HAYOO LOOO DILAPORKAN BANG DENSU MAMPUSS LU DIPENJARAA,Bullying
"Figth nya kaya bocil si cogil, pukulan angin tornado wkwkwkw",Bullying
"Fix dia bukan krister,hindu,buddha dll karena semua agama pasti mengajarkan kedamaian dan perlu di pertanyakan dia setan yang menyamar jadi manusia",Bullying
"FIX gara2 TLID nurunin ke lower dan ketemu SRG, coba RRQ lawan FNOP pasti menang dah yakin gw full indo di final 😢",Non-bullying
Fokus hero yums banned nya. Lagi parah itu kalau yums dapat comfort hero😅,Non-bullying
Frht kntl,Bullying
Full ngakak sumpah seru🤣🤣🤣,Non-bullying
"G kaget , kalau g juara sudah tau hasilnya g bakal juara",Non-bullying
Ga ada hati nya emang ni orang kalo pun kalian ga suka sama anak anak palestine lebih baik congor kalian diam saja dasar tolol kebanyakan makan makanan haram  jadi otak nya nya ga sehat,Bullying
Ga aneh bikend sedih di akhir 😅,Non-bullying
"ga perlu jadi muslim untuk bersimpati dan menyuarakan palestina, cukup jadi manusia. 
yg masih bela israel melakukan genosida.. saya yakin itu bukan manusia. hanya iblis yg menyerupai bentuk manusia",Bullying
"Ga punya malu anjir si jelek safno. Gila emang, ngga ada otaknya, minus akhlak. Good job mba Dilan.",Bullying
"Ga respect sih saya dari awal karna terlalu menjual kesedihan dan ngemis² , dan eehh ternyata feeling saya benar. Cuma sebagai manusia saya turut prihatin atas kejadian yg menimpa mas agus",Non-bullying
"Ga sabar liat mewek""nya ni ank daj*l",Bullying
Ga sampe 1:30 menit. Itu pun udah termasuk teguran wasit,Non-bullying
Ga tau diri keluarga Agus buknya berterima kasih berkat teh novi dapat donasi  sampena kwl ngga ada teh novi ga ga bakalan di panggil podcast ke pak deny,Non-bullying
"Ga tau diri.. org kampung ga pernah lyat duit, langsung lupa diri. Licik tp tetep aj kampung. Ga kepikir teh novi bakal minta mutasi dan ada pertanggung jawaban ke netizen😂.. begitu dpt duit lgs mo kabur. Ga mau melibatkan teh novi lagi. Ga tau malu. Ambil aj donasi nya masukin yayasan. Kalo perlu cancel semua donasi dan bantuan nya. Giliran ketangkep basah lgs jual kesedihan😂 bikin skenario panjang. Maling semua",Bullying
"Ga tau terima kasih banget , harusnya bersyukur diluaran sana banyak orang yang pengen kaya dia , malah g tau terima kasih , kaya gua iri pen kaya dia , gua jatuh dari kelas 3 sd , umur saya sekarang udah 22th apalagi anak pertama , saya sehat cuman  “pincang” ga punya kerjaan , ga bisa kerja berat , pen punya penghasilan buat chanel yt siapa tau rame hehe , sambil iseng semoga bisa dapet penghasilan sendiri aminnn",Non-bullying
Ga usah dibantu lagi !!,Non-bullying
"Ga usah Heran, Rrq udah Biasa Pulang kampung Kalo di Event INTERNATIONAL..
RRQ Juara Event International ? MIMPI BODONG !! HAHAHAHAHA

Tolong julukan RRQ,,  Raja dari segala Raja jangan terus di Ucapkan , Ga malu kah ?? Juara International aja Ga pernah ,, 
Evos Juara m1 ,, Onic Juara Msc 2x ,, Rrq? 😂😂😂😂",Bullying
gadis gadis jelak rupa jelek juga ahlaknya,Bullying
"Gaheran dia disiram air keras. Bikin naik darah nontonnya, gregetan, astagfirullah. Gaditonton penasaran :(, Allah gapernah tidur, semua tindakan ada balasannya, hati2 banget keluarganya",Bullying
"Gajelas banget admin nya, katanya di caption full fight??? Kok cuma 3 menit??? Di ML turtle pertama aja belum muncul itu",Non-bullying
"Gak berterima kasih banget gak istri, gak uwa, gak si Ulan, suaminya pun. Stop lah jual cerita sedih. Babiiik.",Bullying
Gak berubah berubah😭,Non-bullying
Gak iklas pisan udh donasi ke keluarga seperti itu,Non-bullying
"Gak jarang kok bang cewe kayak dilan yg bener bener bisa nerima cowo apa ada nya, dia mampunya segitu, yaudah kita terima. Tapi si cowo yg dasarnya ego nya gede, gak akan terima dan ngerasa disepelekan. Dan cewe yg bisa cover semua, biasanya lebih dominan dan alfa. Dan gak semua cowo bisa terima perempuan yg kayak gitu. Padahal kita sebagai perempuan  bisa menerima menye dan kelemahan dia. Tapi seperti Dilan, aku pun belajar kalau wanita gak boleh jadi terlalu bisa semua sendiri dan terlalu nerima apa ada nya. Karna pasrah dan malas itu beda tipizzzzz",Non-bullying
"GAK KALAH SERUH!! 

FULL FIGHT LIYAN ZEF VS ZOE LEVANA
https://youtu.be/moBnFl3oQq0?si=7Le97dN5up60qbzv",Non-bullying
Gak kebayang pas di sidang.. pembahasan nya tai,Bullying
Gak pake pelindung udah laki😂,Non-bullying
"Gak pernah salaman? Di akhir video lu salaman ama deni. Faiz bilang udh selesai. Trs bilang deni bukan orang makasar. Dia udah bela makasar jadi atlit pon wkwk. Trs bilang penghinaan sara. Lah dia kan orang makasar. Wajar lah dia bertindak seperti budaya sukunya. Trs bilang deni berani masuk pekarang rumahnya, lah dia ngasih share lock. Bilang deni pro sama dia. Deni udh bilang gak pro kesiapa2. Trs bilang agus dan keluarganya gak pake uang donasi. Lah udh jelas uang donasi pengobatan udh kepake buat bayar hutang, beli kebutuhan pribadi. Trs bilang agus gak bisa berobat, lah dihubungin kagak bisa . Gimana mau berobat. Ngawur ni orang wkwk",Non-bullying
"GAK RIDHO AKU KLO INI PEREMPUAN² BANGSAT, GAK MATI BUNUH DIRI KARENA DEPRESI AKIBAT DI BULLY JUTAAN NETIZEN !!!!!!
GAK PUAS AKU !!!!",Bullying
"Gak sadar dia
Dia hidup di negara muslim terbesar di dunia
Minimal pake otak sebelum menghina,mmng dasar nih bocah ingusan tak bermoral tidak memiliki sopan dan santun dasar iblis,senang dia menlihat orang menderita harus di usut nih bocah",Bullying
Gak tau diri najis bgt😢,Bullying
Gak upload2 lagi test drive pedang panglima,Non-bullying
Gak usah demi demi Allah ya agus !!!!!,Non-bullying
Gak usah di blur muka2 anjing penjahat kya gini.,Bullying
"Game apaan ini.. 
Udah kena mental kah
Aneh banget gameplaynya",Non-bullying
"Gampang memperlihatkan Semua Sifat Manusia, semoga Cepat selesai",Non-bullying
Gank anak setan,Bullying
Gapapa anggep aja maliki mewakili kita semua wkwkw,Non-bullying
gapapa guys ini strategi sengaja kalah kayak lawan liquid kemaren  😹😹😹,Non-bullying
Gapernah2nya komen jelek. Tp ini udh keterlaluan yaaa…ckck gaktau TERIMA KASIH. Pantes aja disiram air keras. Tarik aja mba Novi uang donasinya👊🏻,Non-bullying
Gapuassss anjengggg aturann sampeee bonyokkkkkkkkk,Bullying
"Gara"" Nonton bintang tamunya fa. 
saya di bilang kakak saya. 
Katanya orang gila oug di tonton. 😂",Bullying
"Gara2 duit semua dibutakan. Toh memang ada korban kan.. 
seharusnya diobatin dulu, kalo sudah mao dihina atau ditilep duit sisanya yah gapp. 
Ini orang belum sembuh, hinaan dimana2, astaghfirullah ..",Non-bullying
"gara2 mereka ini kita bisa di kira mendukung genosida...dasar anak2 goblok orang tuanya gak mendidik dgn benar,atau di tempat ibadahnya sengaja di dotrin begitu?",Bullying
"gara2 mereka ini kita bisa di kira mendukung genosida...dasar anak2 goblok orang tuanya gak mendidik dgn benar,atau di tempat ibadahnya sengaja di dotrin begitu?",Bullying
"Gatau diri nyett
Ambil balik duitnya bnyj yg lebih layak!!",Bullying
"gatau gw malah jadi suka lihat dilan semenjak kasus ini. sebelumnya ga pernah tertarik, dia cukup dewasa ngadepin masalah ini. saluut",Non-bullying
GATAU TRIMA KASIH LU GUSSSS,Non-bullying
gausah dibantu lagi biar buta permanen,Bullying
gausah kaget kan ini pasif rrq di internasional 😂,Non-bullying
"Gax di bantu kasian...di bantu malah di salah gunakan,,,""agus gax ngerti agus gax tau kami orang awam"" 😅😂",Non-bullying
Gaya apasih lu sat keliatan bngt payah nya hahaha Maliki mau maunya layanin cogil stres😂,Bullying
gayanya udah mirip ryan garacia 😂,Non-bullying
gblk malah nyerah,Bullying
Gblok satria fu teknik anjg kejepit pagar😂😂,Bullying
Geblek nih anak2,Bullying
"Gedek bngt dngrnya dari awal di bilangin di arahin kaga nangkep2 kluarga ini, tinggal pasrahin ajh semuanya ke mba Novi apa salahnya sih .",Non-bullying
Geemesssh banget sama keluarga ini🥴🥴,Non-bullying
Gelehh aku mahh liatt agus ngomong...😅😅😅😅,Non-bullying
Gelud 2 lidi,Non-bullying
"Gemeess banget nonton nya jadi ga respekk .. 
Kasian sama teh Novi ..",Non-bullying
"Gemes banget gua sama cogil"" ni, andai gua di tantang sama ni satria baja ringan",Bullying
"Gemess banget, ke gak tau terimakasih gak sih",Non-bullying
Gemess liat si agus dan keluarga. 😏,Non-bullying
Gemesss banget liat wawa gombel ini 😡,Bullying
"Generasi anjing...
Tahukah konsekuensinya kalian dengan mengolok olok seperti itu?",Bullying
"Generasi goblok,orang tua mu bakalan malu seumur hidup liat kelakuan anaknya yg ga ber akhlak",Bullying
Generasi iblis,Bullying
generasi Psikopat jionis muka jelek hatinya lebih oarah,Bullying
Generasi setan,Bullying
"Generasi taik, wajib di hajar itu rasis dan menyakiti penderitaan sodara kami. Cindo toh",Bullying
Geng OTEN DONGO kebanyakan makan babi.,Bullying
Gerakannya mirip tinju ps 1...,Non-bullying
Gerakanya kaya roadrash jailbreak njir,Non-bullying
"Geram banget sama bocah tolol nei, orang tuanya aja yg suruh sekolah lagi...",Bullying
"GEROMBOLAN ANAK MANUSIA BEROTAK KONGSLET INI...
KONYOL TAK ADA RASA TENGGANG RASA...
CELENG ASU TENAN",Bullying
Gerombolan orang gila...,Bullying
Gerrakan muslim bersatu untuk menghukum bangsat2 yg dzolim kpda sodara muslim.jngan ksih ampun,Bullying
Gigi offside tolol,Bullying
GILA,Bullying
Gila,Bullying
Gila anjr ni anak klimaks bgt ngomongnya,Bullying
gila bgt tu laki,Bullying
"Gila gak asik banget si FA ini, ngomong Taik doank bisa masuk penjara. Lu bercanda sama dia, terus direkam, masuk penjara tuh.",Bullying
gila lu laki laki asu.... bontod gua diginiin,Bullying
"GILA PLAYING VICTIM BANGET, DENSU YANG DIPAKSA MASUK SAMA SI BAPAK YANG DEPAN, MALAHAN DENSU YANG NYURUH UNTUK DILUAR AJA BIAR GAK KEDALAM. MALAH DIBILANG DENSU MAKSA MASUKK. RESPECT FARHAT KEBASS",Bullying
"Gila se""x cwo itu",Bullying
gila si,Bullying
"gila si capek denger penjelasan agus & keluarga, capek ngeliet agus  pegangan tangan mulu.

BUAT TEH NOVI SEMANGAT TEH LU KEREN BANGET KAKK SABAR BGT TENANG JUGA 👍",Non-bullying
Gila si SAP NO mokondo 😅,Bullying
Gila ya ternyata sudah di ajarkan kebencian terhadap palestina dari kecil...  Orang tua.  Sekolah.  Agama anak anak itu wajib bertanggung jawab... 😢😢😢,Bullying
Gila yaaaa... Ada lowh bukti video yg dari Densu. Kok bisa dia cerita ke Om Ded kemana mana.... Ih Om Ded kasian pasti menahan diri sekaliiiii...,Bullying
"gilaa si safno dia tinggal angkat kaki jadi bos,dilan yg kerja dia jg kerja di dilan dibayar  jg,masih sempt selingkuh mukany biasa aja dilan terima apa adanya malah gatau diri,trs pas cerai dpt gono gini 800jt 😂",Non-bullying
"Gilaa yaa, lu ngejelasin ke orang carut marut kayak bukan pengacara, gak survey sana sini tp ngomong asal2ann gilaa wkwkwk mau numpang pamor aja gaes biar naik daun lagi namanya",Bullying
gilaaa redflag tingkat atas si safno ini🤣🤣,Bullying
GILAAAA PEMIKIRANNYA KEREN BANGET DEMI APAPUN ❤❤,Non-bullying
gilaaaaa lo,Bullying
Gilak bisa gitu ga kasian teh novi,Bullying
Gilak gila pantau terus pokoknyaaaaa,Bullying
gilakk cogil dengan style monyet bali😱,Bullying
Gimana ini kok pada cari kebenaran,Non-bullying
Gimana mau tindak aparat kalau oknum polisi mau sembunyikan fakta kek kasus Vina 😂😂😂,Non-bullying
"Gimana sih bisa2nya ga percaya sama teh novi, disini yg open donasi buat lu teh novi loh! Wajar ga sih teh novi minta transparan, ini uang donasi loh, trs yayasan dia juga loh. Byk kelat kelut bener! Asli ga respect. Jadi mikir ohh trnyata orang nya gini, pantes ajaaa.. 
Dibantuin ya makasih loh, ini uang byk justru maksimalkan buat pengobatan, ini mala bayar utang. Kocak! Lucu! Lawak! 
Disini siapa yg ga kenal teh novi coba!",Non-bullying
gimana susah kan buat sejarah? wkwk.,Non-bullying
"GINI JADI NYA KALO MAKAN BABI SAMA KOTORANNYA ,YA KEK GNI JADINYA",Bullying
"Gitu doang sa paling sirkel ,  najis bngt si anjng bnyk gaya",Bullying
Gitu doang?,Non-bullying
GK punya uang pengen berobat udah banyak donasi banyak uang malah di pake yg lain² di luar pengobatan,Non-bullying
Gob*** banget sapno ga mikir apa ya ganti² pasangan takut kena hiv Aids gilaaakkkk,Bullying
"Gobl*k, sudah rupa jelek kelakuan jelek jugaa, dasaar anak micinn. Bisa"" nya becanda dan tertawa di atas penderitaan saudara kita 😢😢 miris",Bullying
Goblok,Bullying
Goblok,Bullying
Goblok,Bullying
"Goblok 
Sangat wajib di masukan penjara,",Bullying
"Goblok bgt. Padahal kami semua Umat muslim bukan saja memperjuangkan umat muslim Palestina, melainkan semua agama yg ada di Palestina, termasuk Nasrani dan Yahudi yg ada dipalestina. Penjarakan anak anak berbahaya ini. Kasih Faham",Bullying
Goblok cari masalah duluan ntar digebuk nangis rau,Bullying
Goblok cok atek di sensor sisan Waja ne,Bullying
"goblok dapet duit segitu banyak ngapain malah milih pake bpjs, sini debat kalo emang lu bisa ngebuktiin si agus ga bersalah",Bullying
Goblok emang,Bullying
"Goblok emang nih orang, ada saatnya elu nanti yg merasakan penderitaan rakyat Palestina, tunggu saja karma mu ya, tidak hanya itu kau pun akan dihinakan oleh temanmu saat kamu menderita semua.",Bullying
goblok ga di izinin tpi di serloc hat hat hijrah deh hat sono ga malu luu😢😂😂😂😂😂,Bullying
Goblok peaaa....Luh pada...klw ga bisa berbuat apa2 jgn kaya gitu...sundelan emang tuh orang,Bullying
Goblok sejadi-jadinya.,Bullying
"Goblok sih ini, pada belajar uud45 gasih, ada kan di preambule.",Bullying
Goblok tolot gak ada otak,Bullying
"Goblok,tolol",Bullying
Goblok.....anak anak iblis yg TDK berprikemanusian,Bullying
GOBLOK...ORANG TUANYA GAK BECUS DIDIK,Bullying
Goblokkk goblokkk.,Bullying
Gpp emang udah gitu harunya biar adil perwakilan tiap negara tinggal satu,Non-bullying
Greget aja nnton keluarga ini 😏,Non-bullying
Greget banget sama keluarga ini😤😤😤,Non-bullying
gs pernah kerja berat dikit atau ngegym apa yak ni orang orang 😅.,Non-bullying
"gua biasanya gasuka content creator yg menye kaya anak kecil, tp pertama liat dilan di tiktok kok gua mlh suka sm kontennya, mlh dr awal gasuka sm safno. dan gong nya di podcast ini, kek bener² gua applause buat ketangguhan dilan selama ini. dibalik content nya yg imut² aslinya dia smart, tegas dan berani. semangat dilan, kami tunggu lu comeback dengan versi lu yg baru ❤",Non-bullying
Gua ngakak sumpah ni si FA  kagak nyambung sama sekali keliatan begonya🤣🤣,Bullying
gua nonton begini kok jadi begok yak. semangat om ded bang densu teh novi,Bullying
"GUA PUNYA PEMIKIRAN YG SAMA DENGAN CEWE INI
SELINGKUH ITU JGN ADA ALASAN SETELAH NYA
TPI SBLM LU MAU SELINGKUH,MENDING LGSG NGOMONG KLO EMANK DAH GK SUKA/GK SAYANG, KASIH KEPUTUSAN PASTI MAU CERAI ATAU GMN
JADI THERE IS NO REASON TO CHEAT",Non-bullying
Gua sebener nya agak ilfil sama satria . Tapi di sini gua gak suka sama sikap Malik. Gak pro bro kalok lu ngelempar sarung tangan lu ke satria dan di lempar balik ngajak berantem . Sok2an . Gak Isa dewasa gak Isa ngasik contoh ke penggemar tinju . .,Non-bullying
Gua ulang trus nontonnya biar nambah bonyok si cogil,Bullying
"Gua yakin cewe yg pake IP sampe detik ini malu punya panutan model gini🤣 bocah ayan kurang vitamin kurang gizi, malu ga tuh bapaknya punya anak model banci kek gini😂😂😂",Bullying
Gue bilang Tai ke farhat dituntut gak yah..,Bullying
"Gue kecewa 😢kalo gue wasiatnya gabakalan gue berhentiin ,kalo mau nyerah Minimal tsi cogil tekuk lutut,terus di jadiin samsak selama 5mnt😂",Bullying
Gue lagi nonton youtube short ya ?,Non-bullying
"Gunanya pegang tasbih apa sih??? Dari awal ku liat cuman dipegang doang, gak digunakan 😂😂😂",Non-bullying
Gunanya pohon bringin apa jir... Terus mid nya itu apa coba.,Non-bullying
"Guobl*kkk,ga perduli cewe w gamparin lu...,tol*llll",Bullying
Gus agus.. Nih ada yang mau donasi mata mau? Tapi mata anjing sih gus.. Mau ya,Bullying
Gus oh agus sekarang banyak semut yg merapat hati hati klo udah gak manis lagi semua ninggalin kamu gus termasuk istri kamu dengan kondisi kamu yg seperti itu sesal belakangan,Non-bullying
Gus pegangan tangn terus kgk gerh itu tangannya keringetan kagan,Non-bullying
"Gus"" hrs ny bersyukur dan trima kasih sama teh Novi .itu uang donasi Gus Gus...semua Krn teh Novi .",Non-bullying
"Gus, sebenarnya lu intropeksi dengan kejadian yang lu alami skrng. Perbaiki semuanya sebelum terlambat gus, dengan uang banyak karakter lu sebenarnya keliatan.😊

Buat sih wawa juga, muka tidak bisa berdusta bu😅 netizen indo orang pinter semua😅 pertahankan karakternya Bu, panik salah ngomong gerakan mulut mata terlihat sangat jelas sekali wawa😂",Non-bullying
Gw dari awal no respect sih klo donasi ujung nya begini.. teh novi udah cape² bntuin malah d buat byr utang hadew gatau terima kasih sih ini manusia,Non-bullying
"Gw ga mihak cwo bangsat yg selingkuh ya... tapi dr ceritanya, anda sebagai istri juga temperamen Mbak... laki2 itu butuh dihormati maka kalo suami anda benar dia akan menyayangi anda. Jadi sama2 diantara suami istri, semoga ini jadi pelajaran bagi anda utk jd manusia yg lbh baik.",Bullying
"gw ga sekolah tp gw ga bego2 amat ampun deh bang,bilang uang ada d teh Novi emang iya ada d tarik karena knp udh ga transparan,sesudah teh Novi bilang bukti mutasi pengeluaran karena banyak pengeluaran ga jelas JD d tarik aduh gmn bang mkn y klo nonton taw org ngomong jgn d skip skip😂😂",Bullying
"gw jg bingnung, kenapa cowok jelek malah jd playboy. rasanya menjijikan sekali",Bullying
"Gw kira TLID yg bakal pulang duluan, dilihat dari lawan sama awal2 under perform, eehhh taunyaaa... 😂😂 byebye RRQ, masih ada M7",Non-bullying
"Gw kirain dari awal uang ada di rekening Novi, eh ternyata Novi yang minta uang sumbangan yang sudah masuk ke rekening agus sejak awal, seharusnya pihak agus gausah tf dulu tapi tanyakan ke denny sumargo yang menangani dari awal untuk bantu. 
Novi mah anggap aja lah gaada, toh juga uang dari awal sudah masuk di rekening agus dari para donatur bukan dari rekening yayasan si novi",Non-bullying
Gw mah pusing liat kasus ini..dr awal gak mau bgtu nyimak..nyumbang jg gw gak..Lieuuurr aahh,Non-bullying
Gw pas nonton ini blom tau muka suaminya mba dilan aja udh semuak ini sama tuh cwok cok 🤮jdi pgn liat muka si brengsek itu,Bullying
Gw pengen banget lawan dia,Non-bullying
"Gw sebagai kingdom sedih liat rrq 😢, kayak kurang dari segi draf",Non-bullying
Gw smbil makan krupuk putih seperempat aja blom gw makan udh kelar anjeng,Bullying
"Gw udah all in bjir, kirain rrq menang 
Tp ttep pilihan juara Fnop sih😂",Non-bullying
Gw yakin si cogil latihannya di Youtube,Bullying
Gw yakin si maliki malu berat karna menang lawan cogil.,Bullying
Gw yakin yg juara ma Onnic ph,Non-bullying
"gwe kira king alex udh paling kocak, taunya ada yg lebih badut si cogil krempeng pentil mingslep.",Bullying
"Haa!! Gila masih bocah ingusan gaya nya tengik.. Bersyukur tinggal di indo, coba mereka tinggal disana paling sisa nama doang",Bullying
Habis ini mampir ke podcast nya om DC biar sekalian kena semprot tuh laki banci mantan sumainya dilan 😅,Bullying
"Habis lewat di fb langsung kesini.... 
Mo komen suami mu jelek mbak
Alhamdulillah kowe sadar sak sadar sadare..",Non-bullying
Haduhhh baru luat gua jirr . bangsat nih orang . tinggal di mana mereka ... Anjingg,Bullying
"Hah Netizen Indo? Kingdom doang kali, gausah bawa bawa netizen indo 😂
Untung all in SRG koin gua",Non-bullying
haha orangtuanya dongo anjinggggggggggggggggggggggggggggggggggggggggggggggggg,Bullying
"Haha pinter si om ded nanyanya ketahuan fa bodohnya, berbelit juga iya, trs selama yg aku denger si FA ini selalu berpatokan uang yg masuk ke rek agus 1.4 M padahal lebih hampir 1.7 M yg d balikin ke teh novi 1.3 M 400 jt lgi ke mana? Ya bayar rmh wawa 98 jt, TF ke istri 250 jt, kirim ke kampung 60 jt belanja online puluhan juta bayar sekolah ngk tau brpa 😂 teh novi juga ngk bodoh amat ngk mgkn nyerang klo ngk ada bukti Agus aja sama FA yg berbelit belit 😂 mgkn sampe skrg polisi juga ngk angkat kasus karena uda jelas teh novi yg benar 😂 dan polisi juga pasti kasihan sama agus lagi sakit kok sering ke polisi daripada berobat",Bullying
"HAHA RRQ RRQ, UDAH TAU AKHIRNYA HAHA",Non-bullying
Hahaha keseringan joget tiktok itu bang makanya gitu gerakanya 🤣,Non-bullying
hahaha ngakak. punya kasus sama tapi beda nya aku belum nikah tp kasus nya hampir sama. KASUS MEN!!! kata2nya si SAPNO sama banget ama ex aku AWOKAWOK,Non-bullying
"Hahaha wawa ekting lu jago bgt gkda 100jt . 98jt . 2jt nya dr mana  , ahahha bacottt lu wwwa",Bullying
Hahahaha asuwww asuwww,Bullying
Hahahaha cuma bisa ketawa aja😂😂😂,Non-bullying
Hahahahaaa kek Doyok di adegan film  warkop DKI tuh si monyeee,Bullying
Hahahahahahahaha.......hanya bang Densu yg berani datang ke rumah orang gila,Bullying
Hahahahahahahahh mcm pantat la hahahahahhahahah.. masuk ring gk la 😉🫴🫴,Non-bullying
"Hai anjing 
Sekarang pun anjing sudah maju. majikan hari ini beli McDonald lupa beli Whiskas",Bullying
Hai dede dede kecil yg behati iblis....behati hati saja kalian banyak orang yg ggk senang dgn joke kalian yg ggk lucu itu...apalagi kalian tinggal di Jakarta ...Pasti anak anak abah ggk tinggal diam😅,Bullying
Hai para lelaki berfikir lah  sejuka kali untuk menikahi setan berbentuk wanita ini..,Bullying
"Halah FA.bisa aja buat artinya pukul artinya pembela kaum lemah
Giliran densus bilang Tae malah bilang tai.aneh pintar sekali FA ini putar balikin fakta",Bullying
"Hal-hal Ke Goblokan bisa viral. Giliran ada orang yang menang olimpiade internasional ko nggak se viral ini.
Mirisnya indo seperti ini",Bullying
"Hallo bang Deddy,bahasa hongkong or Taiwan Tai itu artinya besar,kalau bang Densu orang keturunan Chinese otomatis tau bahasa Tai itu banyak artinya",Bullying
Hanya diskomunikasi aja mas agus org baik dan polos 🙏,Non-bullying
hanya para bajingan biadap yang menertawakan penderitaan orang lain..bedebah..,Bullying
"happy banget liat team indo gagal juara M series lagi,",Non-bullying
Hargai mbk novi .emang cari uang segitu gampang.,Non-bullying
"HARUS AMBIL TIDAKAN NI, KURANG AJAR BANGET NI ANAK² IBLIS !!",Bullying
harus caper  ginii ya bang? kasian pengen rame kah komentar nya?😂,Non-bullying
"Harus di bina nih, binasakan yg katanya paling toleran ternyata hanya berlidung dari ketek babi",Bullying
Harus di hukum..berikan sanksi...cewe bocah bisa²nya ngomong gitu..,Non-bullying
"Harus di keluarkan dari sekolah ini anak2 anjing,,apalagi ada salah satu dari mereka sekolah di SMPN jakarta",Bullying
"harus dicari anak"" setan ini... tdk ada klarifikasi... cari harus manusia setan mrk ini",Bullying
"Harus dihukum berat nih anak anak iblis...... dimutilasi hidup hidup, terus dikasih ke kebun binatang, kali aja ada binatang yg Sudi makan.....",Bullying
"Harus dihukum, sebagai pelanggaran ITE, HAL INI SUDAH MASUK KATEGORI SARA, TOLONG LEMBAGA MASYARAKAT MELAPORKAN HAL INI KE BARESKRIM POLRU",Non-bullying
"Harus kedua belah pihak om ded,biar povnya jelas,ini si pengacara bilang gk dipakai,orng masuk kerekening si wawa itu,85 jutaan,trus dibilang pakai buat rumah,taunya cuma 35 juta sisanya,terpakai untuk biaya ini itu,ini kan uang donasi buat agus dan buat pengobatan,bukan buat bayar rumah,disana emosinya orng2,masih aja dibolak balik,orng semuanya ada jejak digital,dan uangnya masih utuh kok,baru kali ini gw segeram ini liat kasus,karna ini duit orng banyak,bukan duit pribadi si A ini,jadi harus jelas penggunaan dan transparan",Non-bullying
Harus nya cogil vs Alex baru imbang,Bullying
"Harusnya cowok ipong itu lawannya dinar aja udeh, selesai tu sama dinar candy",Non-bullying
Harusnya dilan laporin ke polisi atas kasus perzinahan biar safno kapokk,Non-bullying
