Komentar,Kategori
Yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah….oprasi dulu sono..biar gantengan dikit.. Dan kalo jln ke mall gk di kenal orng.,Bullying
"dia ini siapa sih??? Artis bukan, jelek mah iya mukanya iyuhhh",Bullying
"Ini bukan era lo lagi, mending lo mati aja babi. Kalo baca bales nyet",Bullying
Saya segenap hati minta maap,Non-bullying
Dulu Bahagia Sekarang Banyak Utang,Bullying
Harus lebih maju berkelas rik!! Ga jamannya lg toxic dan ga beraturan.. build sistem!! You will be BIG,Non-bullying
editan sama konsepnya nice banget lahhh,Non-bullying
iri kok sama babi hahah najis,Bullying
LO YANG DULU BUKANLAH YANG SEKARANG DULU KAYA ANJING SEKARANG KAYA BABI,Bullying
Jelek aja tukang selingkuh lo buriq !,Bullying
kok kalian komennya pada kek gini ya,Non-bullying
"Rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik, sayang nya lu ngecewain org lain gimana mo masuk surga",Bullying
Kalian kaloga cocok mau di paksain?,Non-bullying
ya biarin @xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak?kalo udah takdir gaada yang bisa nentang njir,Non-bullying
"Cocok kok, emang orang baik mah buat org baik, kalo yg bejat mah emang cocok buat yang bejat juga ehehe",Bullying
"ERICK GOBLOK,MALAH PACARAN AMA LONTE ANJ,SO BAT",Bullying
Cocok banget sama2 orang gak bener biar lah dia hancur bersama,Bullying
EH KEK ADA PENAMPAKAN LONTE,Bullying
Meninggalkan berlian demi Tai Sapi,Bullying
"Ini bukan era lo lgi, wkwkw skrng lo penuh dengan cacimaki, telen ludah sendiri",Bullying
Pantes disini mulainya si ajg berulah,Bullying
Open BO ga bang si listy? Kebetulan ada om-om yg nyari cwe yg udah pengalaman!!!!,Bullying
Buah nangka buah kemanggi gak ada akhlak lu babi,Bullying
Perlahan karirmu ancur bro dan lu akan kembali kebawan,Bullying
Biarkan @sk69official bangkrut aja. CEO nya gatau trimakasih haha,Bullying
"ngapain juga nginap di rumah cowo, gaada keluarga lg lo?",Bullying
"Eh ada pelakor, pas banget frame ke tiga, orang ke 3",Bullying
Anak gblk dikasi berlian malah milih kerikil,Bullying
Dikasih bidadari malah milih dajjal awokawok:v,Bullying
Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami,Non-bullying
Kesihan gue sama org otak dangkal kek gini,Bullying
Murahh banget lo jijik gue …. Dikick EVOS mlah open BO,Bullying
"senengnya sekali nyesel nya seumur hidup, miris banget hidup lu tolol meninggalkan berlian yang indah dipandang dan di sayang demi segumpal tai kucing",Bullying
Indahnya pemandangan banyak LonT lonT mau di jual,Bullying
"bidadari sudah ditunjukan , bahwa mmg g pantes sma dajjal g tau diri",Bullying
siapapun tolong kasih tau aku ini masalah nya apaa gais,Non-bullying
dikasih hati yg malaikat milih yg berhati iblis greget:(,Bullying
Di kasih bidadari malah pilih kotoran,Bullying
Dikasih bidadari malah minta lonte,Bullying
Gajadi beli Model murahan barang pasti murahan,Bullying
Modelny aja murahan apalagi barangnya,Bullying
"muka macem pengamen gegayaan selingkuh, untung udh ga sm jane lg, kebanting sm jane muke lu",Bullying
"Males beli gua,gara gara ada lonte",Bullying
"Padahal bulug gini ya mukanya.. ehh,, maaf..",Bullying
Padahal cantikan jessica kemana mana,Non-bullying
Dikasih bidadari malah milih sampah,Bullying
yaelah muka pasan aja bangga lu njing,Bullying
Wah ibarat lebih milih iblis daripada bidadari haha,Bullying
"@rangga_kanahaya knp gk truck sampah, kek mukanya sampah",Bullying
"Gajadi beli, takut ketularan lonte nya",Bullying
"hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam",Non-bullying
Jangan beli baju lonte entar kena sial,Bullying
Dasar cewe lo itu LONTE tau kau!,Bullying
Disini pada kenapa dah? Aku gapaham tolong,Non-bullying
Itu ditengah manusia apa monyet kok kulitnya bercorak batik,Bullying
Muka lu sama anjing gwe..lebih ganteng anjing gwe rik,Bullying
"Buat kalian para pens lonte jgn tkut listi Miskin krna dipecat, krna dia bsa kaya lgi, dgn cara ya nglonte",Bullying
"Etdah ninggalin yang baik demi lonte, situ waras mas wkwk",Bullying
Gw melihat cewek murahan di postingan ini,Bullying
yang kedua dari sebelah kanan itu batik apa orang dah? kok warna nya kek taek babi si?,Bullying
Ih ko muka jelek banget siii serem kek setan,Bullying
Itu yang foto ketiga jablay murahan bukan?,Bullying
Jelek aja tukang selingkuh lo buriq !!!!,Bullying
Emang kalian se suci apa sampai nghina dia segitu nya,Non-bullying
Mending yang follow pada unfollow Udeh gausah ribet,Non-bullying
"Dekil tatoan, mampus karir Lo hancurr pantek",Bullying
Udah ada berlian malah milih batu nisan,Bullying
"Alasan setan ama setan, KARNA KALO SETAN SAMA BIDADARI, SAYAPNYA RONTOK, DICEKER, DIGIGIT, DIJAMBAK2",Bullying
Lagian juga Erick gak ada akhlak jelek lagi Listy juga jelek,Bullying
Setan ma setan mahh emg cocokk udee,Bullying
Lonte kurus pucet kek mayat hidup,Bullying
Itu muka apa tutup panci wkwkekek jelek nya ampe ke ubun ubun,Bullying
@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong,Non-bullying
bego anak orang udah ga perawan noh gara lu wkwkw,Bullying
Frustasi..Sudah habis uangnya..Kasihannn,Bullying
Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras,Non-bullying
Semangat Rick untuk usaha barunya,Non-bullying
Hadehh muka kaya tong sampah .,Bullying
"banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya",Non-bullying
Ni org jelek ga ada obat.kok jj mau liat apa ya..,Bullying
"Semangat bang, walaupun banyak orang yang ngejudge lu. Jangan peduliin mereka",Non-bullying
Tuhan yesus baik semangat rick,Non-bullying
"Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)",Non-bullying
"Eh lo nyadar ga ? Udah dekil terus tatoan, jadi nya kaya daki haha",Bullying
jelek dapet selingkuhan jelek juga keren yaa imbang wkkw,Bullying
"Wah ngehina fisik ni orang,ga bener ya wkwkwkwk",Non-bullying
BUNUH DIRI LAH SONO GOBLOX,Bullying
Sabar semua komentar ini ujian,Non-bullying
Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!,Non-bullying
"Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank",Non-bullying
Erick masuk neraka jalur selingkuh bos,Bullying
Trs berkarya walaupun brd di titik sprti ini,Non-bullying
Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada,Non-bullying
Yang ngatain keknya idupnya gapernag bikin kesalahan,Non-bullying
Jadi gila kau rupanya karna gak laku lagi di YouTube,Bullying
Kasian yah sdh stress banyak masalah,Bullying
Kok jatohnya malah kek ajg sih rikkk,Bullying
Karir turun jadi autis kasian hahah,Bullying
"erick yang kek gini yang gua kangenin, keep it up bruuh",Non-bullying
Udah mau autis iya bg awokawkk,Bullying
Kasian masih muda udah stresss,Bullying
Banyak komen yg support malah ketutup yg hate bgst emang IG,Non-bullying
"Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm",Non-bullying
Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.,Non-bullying
Aura org pinter emg shining ya bun @hy_dindut,Non-bullying
Paket lengkap deh.. udh cantik pintar lagi,Non-bullying
Sukaa bnget sm artis ini… nggak neko2.. dan natural bngett,Non-bullying
"Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy",Non-bullying
"Idih mak lampir, dibanding uya ma lu, lu bagaikan butiran debu,, lu dikenal karena bacot… rajin2 ngaca deh",Bullying
Anjirlah muka lo kek kuntilanak malah sok cantik,Bullying
"Mbak cadel yg bangga dengan cadelnya,, Harusnya sih kasihan karna cadel tapi lama jadi jijik kenapa gak sekalian bisu aja",Bullying
"Uda pinter, cantik gak kebanyakan tingkah. Perfect",Non-bullying
"Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada",Non-bullying
Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda,Non-bullying
Motivasi ku ka Maudy cantipp bngt,Non-bullying
"Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin",Non-bullying
Damage nya cewek pinter gada lawann,Non-bullying
"cantikan waktu berisi dulu… sekarang kurus bgt, kurus begini auranya kurang",Bullying
"cantik sih, tapi sayang kurus ya. padahl udh nikah lo, kurang bahagia sama pernikahannya?",Bullying
masih good vibes walaupun sedang lapar,Non-bullying
kakak cantik bgt bismillah cerdasnya nular,Non-bullying
Bego lu. Alam semesta dan seisinya pun serentak murka mendengarkan lagumu,Bullying
Dua2 nya cantik banget masya Allah,Non-bullying
ka nisa mirip ariana grande masa,Non-bullying
"Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha",Non-bullying
Sekilas yg abu mirip ariana grande haha,Non-bullying
Yang satu nya mirip Ariana grande,Non-bullying
Kakak sama adek sama sama cantik ya aku suka sama dua duanya,Non-bullying
Rambutnya kak modd bagussss… Item berkilauu,Non-bullying
Cantik semua congrats kak msuk nominsi tc candler,Non-bullying
Maudy enak bet dah cantik iya pinter iya,Non-bullying
kukira dedeknya berdiri itu mau mukul bang jer pake ukulele… ternyata aku salah salah :,Non-bullying
Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa,Non-bullying
Sutan kamu sangat lucu dan menggemaskan,Non-bullying
Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom,Non-bullying
"Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya",Non-bullying
Muka lu kok cabul banget sih bg hahah,Bullying
Dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak,Bullying
Kak jerome kayak boneka tau hahah,Non-bullying
Mukbang makanan sehat dong kak. Salad jepang gituuu.,Non-bullying
Yakinin dulu niatnya bg… Semoga sukses,Non-bullying
"Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang",Non-bullying
Cuman rumus diet ini yg ga bisa dipecahka ya bang?,Non-bullying
Perut makin maju tpi semangat jangan tak maju,Non-bullying
Pantesan kak Jessica bilang bang jerom beruang wkwkwk,Non-bullying
Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya… Apakah daya diriku yg lebih suka bhs Inggris drpd matematika,Non-bullying
Kaya tulus ya mukanya klo diliat2,Non-bullying
"Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)",Non-bullying
Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha,Non-bullying
"Sumpah si kak, kemeja jeans bikin keliatan seger bgt mantap mantap",Non-bullying
Mirip ama aktor korea yg main di film reply 1988 yg jadi kaka nya jung hwan wkwk,Non-bullying
iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul,Non-bullying
Klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur,Non-bullying
Kok makin dewasa makin imutt aih cipaaaaaa,Non-bullying
maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa,Non-bullying
Nih orang manis bnget sihh ga ngerti lagi,Non-bullying
"Kakak pinter nyanyi ya @syifahadjureal, suaranya bagus kak",Non-bullying
Gk salah kalo kak syifa cantik mamahnya aja cantik bgtt!! Jujurr,Non-bullying
Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.,Non-bullying
Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu,Non-bullying
"Kakak udah cantik sii, tapi cantikan lagi kalo pake hijab",Non-bullying
Gemeshh rasanya kaya aku pengen cubit,Non-bullying
"@angelkmgi ini paling cute sih, ganteng parah msh kecil jg",Non-bullying
Pengen gw pacul mulut lo!! woii anjeng busuk,Bullying
Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu,Non-bullying
"Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula",Non-bullying
Dilihat sekilas pun tampak jelas kalau cantikkan syifa,Non-bullying
Setuju g sih? Si dia tetep cntik bgt meski g pke make up… lah aku g pke make up pucet bgt kyk g makan setahunn,Non-bullying
dahlahh emang cantik luar dalam kmu ini cippp,Non-bullying
"Muka cantik tanpa make up hini, bahagia bgt kali ya yg jadi suaminya, bisa liat bidadari setiap harinya.",Non-bullying
Suka bgtt sm kak cipaa.. orangnya humble sm semua orang dan banyak temannya juga,Non-bullying
Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati,Non-bullying
"Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..",Non-bullying
"Rafathar nya mantull ni, pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg.. jd jagain dan temenin mama dulu  ya aa",Non-bullying
"kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha",Non-bullying
Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..,Non-bullying
Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory,Non-bullying
smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..,Non-bullying
Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya,Non-bullying
"Kasihan ya , Nagita punya suami kerjaannya berzinah terus",Bullying
Koreaable banget face rafathar cakep ganteng manis banget,Non-bullying
MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…,Non-bullying
"Kok mirip siwon ya lama2, apa perasaan gw aja.",Non-bullying
Lucunya berasa kayak kaka dan adek,Non-bullying
Itu wajah nagita kya masih umur 20an,Non-bullying
"Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu",Non-bullying
"Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.",Non-bullying
Nagita masa kaya anak muda coba cantikk bangeett,Non-bullying
"Masyaallah mamany cantik anakny ganteng, perfect",Non-bullying
Kaya adek kakak.. kak gigi keliatan muda banget,Non-bullying
Tambah gede aja rafathar ya tambah pinter ya Rafathar,Non-bullying
Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda,Non-bullying
"OOTD mama gigi simple tapi elegan dilihat nya, masyaallah",Non-bullying
"Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga",Non-bullying
mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.,Non-bullying
Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep,Non-bullying
i see beauty in everything mba gigi sehat selalu sama dede bayi nya,Non-bullying
Mama gigi cantik banget… look younger than her age.. love mama gigi,Non-bullying
Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas,Non-bullying
Pakaian apapun yg dipake mama gigi selalu keceee,Non-bullying
Terima kasih kak Nagita @raffinagita1717 sudah support Molly si gajah dan satwa-satwa di Bali Zoo lainnya dengan kunjungannya bersama keluarga,Non-bullying
Kaya ny gajahnya merasakan aura positif nya mb gigi itu… kelihatan sumringah jg gajahnya loo..,Non-bullying
Manis banget mbak gigi.. Masya Allah.. hamil semakin bersinar..,Non-bullying
Mama gigi gapernah ga cantik sih kalo menurut aku.,Non-bullying
Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.,Non-bullying
Cantik banget semoga sehat selalu kakak panutan,Non-bullying
MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa,Non-bullying
Gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya,Non-bullying
"makin tua makin muda yehh mukanya, mana cantik bngett mo nangiss ampun cantik terus ka yaya",Non-bullying
Gapaham lagi cakeup nya natural Masyaallah,Non-bullying
Raisa mah tipe cantik tapi sopan santun pakaiannya,Non-bullying
"ka yayaaa, why are you always stunning pretty girl.",Non-bullying
"Ya Allah ni orang apa peri, cantik amatt",Non-bullying
Kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik,Non-bullying
BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH,Non-bullying
Cantik bajunya keren warnanya bikin pangling,Non-bullying
Sudah dongggg dan sudah di liked juga.. congratulations,Non-bullying
Udaaaahh nontonnnnn.. lagunya bajunya makeup dan hairdo nyaaa sukaakkkk,Non-bullying
Raisa sekarang ngak monoton…. Jadi suka deh…. Sering2 kek gini….,Non-bullying
udah dong. Lagi ngunyah aja cute banget,Non-bullying
Penyihir secantik ini gue rela dikutuk jadi tokek laut,Non-bullying
Ya ampun kak makan apa sih kok bisa cantik banget,Non-bullying
"Ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu, gemes hahaha",Non-bullying
Aku udah. Dan sumpah bagus banget. Serasa liat cerita disney gitu,Non-bullying
"lu lebih gak sopan, mukak lu kayak babi!",Bullying
ya Allah kenapa begitu sempurna sih ciptaanmu yg satu in,Non-bullying
"Ragu aja cantiknya udh kek gini, gmn kl yakin yak, cantiknya kek apa, heran",Non-bullying
"Bukan keliatan ragu, tapi keliatan cantik",Non-bullying
"Warna yang paling bikin Raisa makin shinning itu merah, hitam, putih, pink and emerald",Non-bullying
Raisa pake baju merah sumpahh cantik bgttt,Non-bullying
"Liriknya pendek tp susah di hafal pas awal awal, begitu di puter beberapa kali eh kok candu banget",Non-bullying
"Demi apa, Kak Yaya gk pernah ngeRAGUin para pendengar lagu2 nya",Non-bullying
Ka yaya kalo ragu tetep secantik itu yah :),Non-bullying
"Ragu aja cantik kan kak, apalagi kalau serius",Non-bullying
Ngga alay. Ngga muluk muluk. Natural. Sukaaaa,Non-bullying
"seru bgt gemoy, tim berkebun plus tim alam bgt niiii",Non-bullying
nikmatnya bisa menghirup oksigen dengan bebas ya :),Non-bullying
Slide kedua mukanya mau gaya apa aja tetep cantikk,Non-bullying
mba isyana foto gelap2an gini aja aesthetic bgt ya,Non-bullying
"mba isyana udah cantik suaranya bagus kompeten pula, ah sukaaaa",Non-bullying
Ga Taulah aku juga suka banget sama gayanya isyan,Non-bullying
"Kangen nonton konser isyan secara lgsg, meskipun msh bisa virtual, Cuma experience-nya lebih dapat aja gitu",Non-bullying
"Congrats ka @isyanasarasvati, terus berkarya, makin sukses… dan terus mnjd inpirasi kita semua…",Non-bullying
"Congrats kak, kamu memang pantes mendapatkannya",Non-bullying
Saya berharap kak @isyanasarasvati panjang umur. Sehingga bisa jadi inspirasi untuk musisi seluruh Indonesia. Saya suka musik indonesia dengan adanya kak Isyana,Non-bullying
"Udah cantik, rada gesrek tapi ya ini banyak kelebihannya, semangat tetap produktif",Non-bullying
"Gatau lagi, serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan! Selalu keren dan pecah! Tak pernah sekalipun mengecewakan",Non-bullying
Walaupun ga pernah lihat ka isyana live beneran di panggung. Tp aku terpesona bgt ama live virtual asli keren,Non-bullying
yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt,Non-bullying
Keren banget!!! walaupun sebentar tapi mantap abis! Ditunggu karya selanjutnya ya kak! Stay safe and healthy isyana ku,Non-bullying
makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa,Non-bullying
"Thank you juga, Syan! Seneng banget kemarin haha! Semoga setelah pandemi ini, semua rencana dilancarkan ya, Syan!",Non-bullying
"hua seneng bgt kmrn walaupun Cuma 35 menitan tp seneng liat isyan, adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya, ditunggu karya selanjutnya kaka",Non-bullying
senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya & diapresiasi oleh banyak orang…,Non-bullying
Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri… biar musik Indonesia lebih berwarna,Non-bullying
congrats kak isyan semoga semua impian-impian baiknya segera bisa terwujud aamiin,Non-bullying
"Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan",Non-bullying
CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss,Non-bullying
ORANG INI TERLIHAT SANGAT SANGAT STRES DAN GILA,Bullying
"Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat",Bullying
"Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya",Non-bullying
definisi minat ketemu bakat ketemu kerja keras,Non-bullying
@vnagstn astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini,Non-bullying
"MashaAllah… udh cantik, pinter, jago nyanyi dn mainin alat musik pula neng @isyanasarasvati ngefans bener ini mah",Non-bullying
"Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis",Non-bullying
"Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett",Non-bullying
Sumpah demi allah bagus bangett kereennn merinding ak nya.. dengerin sampe abis tiba2 aja ampe netesin air mata,Non-bullying
"aku memutuskan untuk menjadi fans isyana. gila keren banget ya, otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki, di waktu bersamaan",Non-bullying
AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget,Non-bullying
paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri,Non-bullying
"Sampe ga bisa berkata2 lagi buat isyana, sangat2 sempurna org ini",Non-bullying
Inimah bukan main alat musik lagi. Olahraga jari dan kaki ini mah,Non-bullying
<USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,Bullying
Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,Bullying
Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,Bullying
"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",Bullying
"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",Bullying
"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",Bullying
"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",Bullying
krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,Bullying
ayu janda bego pny suami kpn nikah laginya?,Bullying
"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",Bullying
"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",Bullying
"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",Bullying
<USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,Bullying
Jijik liatnya suer deh minceeee,Bullying
"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",Bullying
"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",Bullying
Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,Bullying
"<USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",Bullying
"<USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",Bullying
"Cuman jual goyangan yak, suara macam taik...",Bullying
Kasian ih nyari uang sampe segitunya,Bullying
anjir tontonan yg sangat tidak bermutu!,Bullying
"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????",Bullying
Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,Bullying
"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi",Bullying
"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya",Bullying
S lonte ini bkn sensasi ngjak ribut org mulu sampah,Bullying
Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..,Bullying
Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,Bullying
Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??,Bullying
"Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??",Bullying
bencong rombeng.menjijikan!!!gay jg.,Bullying
"Orang gila itu ???? pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org,,, astagfirullah... Sekaya apa sih??? Org kaya mulut nya ky sampah,ga sekolah ya???",Bullying
